host
36961 -2897.0364
17961 -2893.5332
36201 -2921.2236
34681 -2879.6753
18721 -2883.6710
24801 -2869.5219
2761 -2917.4677
10361 -2910.4862
7321 -2934.4058
5801 -2896.2332
6561 -2890.6542
28601 -2876.2595
14921 -2905.9813
21001 -2859.6724
3521 -2895.9472
9601 -2886.8725
11881 -2924.7427
2001 -2865.6227
39241 -2906.5760
27081 -2875.1446
33921 -2917.5333
37721 -2906.8256
35441 -2902.6947
13401 -2889.4933
25561 -2897.3641
8841 -2905.3337
23281 -2893.0933
14161 -2894.9833
22521 -2894.6009
12641 -2911.0173
8081 -2910.7615
16441 -2905.7689
30121 -2907.1646
4281 -2907.4351
32401 -2916.2324
38481 -2883.9145
24041 -2885.6039
31641 -2854.9329
17201 -2905.1725
30881 -2891.9601
26321 -2846.8660
19481 -2937.3205
20241 -2869.0709
15681 -2886.5396
21761 -2897.3409
5041 -2938.8145
33161 -2870.5546
29361 -2927.1743
27841 -2878.4701
11121 -2910.1668
