host
36961 -2887.1032
17961 -2910.4900
36201 -2863.0317
34681 -2861.9020
18721 -2918.2386
24801 -2887.3014
2761 -2890.1420
10361 -2888.0907
7321 -2923.1782
5801 -2938.9282
6561 -2897.9593
28601 -2908.6198
14921 -2901.4416
21001 -2889.5727
3521 -2907.7389
9601 -2922.1418
11881 -2908.5005
2001 -2913.3421
39241 -2884.8850
27081 -2912.3299
33921 -2905.2906
37721 -2893.5340
35441 -2908.7404
13401 -2915.4485
25561 -2885.8452
8841 -2925.8537
23281 -2888.0725
14161 -2915.6607
22521 -2874.2894
12641 -2912.4108
8081 -2914.9529
16441 -2889.0973
30121 -2924.8865
4281 -2900.1591
32401 -2928.8330
38481 -2922.0648
24041 -2900.2539
31641 -2881.3708
17201 -2905.9307
30881 -2952.1910
26321 -2897.4919
19481 -2908.5495
20241 -2883.7313
15681 -2868.4940
21761 -2891.1712
5041 -2901.5082
33161 -2880.4199
29361 -2906.0858
27841 -2913.7790
11121 -2923.8508
