ligand host complex
11881 -3.0693 -2256.2832 -2316.2505
27081 -3.0825 -2282.5364 -2274.4376
8081 -3.0646 -2265.4958 -2263.3597
24801 -3.0436 -2276.1635 -2261.5029
29361 -3.0702 -2271.8509 -2287.3069
11121 -3.0541 -2268.5865 -2297.2041
17201 -3.0591 -2299.9382 -2304.6570
33921 -3.1053 -2267.1587 -2297.1600
14921 -3.1151 -2259.3637 -2282.5858
39241 -3.0866 -2263.4122 -2317.6487
27841 -3.0556 -2249.9395 -2296.6833
19481 -3.0841 -2261.8252 -2299.9107
25561 -3.0831 -2288.1797 -2281.9902
13401 -3.0648 -2239.4873 -2279.2011
36201 -3.1031 -2269.1608 -2312.8323
4281 -3.0630 -2256.1653 -2287.6413
35441 -3.0367 -2231.7042 -2272.0449
14161 -3.0654 -2283.2727 -2309.6241
5041 -3.0800 -2257.2625 -2308.0847
23281 -3.0764 -2243.2823 -2300.5469
3521 -3.0683 -2265.5788 -2297.9475
15681 -3.0812 -2225.0706 -2327.0023
28601 -3.0152 -2263.9110 -2294.1477
20241 -3.0752 -2267.9271 -2298.5527
34681 -3.0636 -2256.0375 -2281.3160
2001 -3.0798 -2278.0686 -2298.9435
32401 -3.0603 -2279.6881 -2279.7415
10361 -3.0547 -2289.9552 -2279.8083
26321 -3.0695 -2235.7565 -2338.0783
38481 -3.0335 -2293.6369 -2262.1760
30881 -3.0537 -2274.7751 -2286.9954
6561 -3.0396 -2310.4566 -2296.5832
17961 -3.0521 -2252.3859 -2276.9657
2761 -3.0738 -2286.3050 -2291.2274
18721 -3.0370 -2236.8628 -2273.4438
22521 -3.0789 -2227.0463 -2311.4906
24041 -3.0376 -2258.7222 -2291.9315
21761 -3.0887 -2246.0033 -2288.4496
5801 -3.0826 -2269.4542 -2247.1758
8841 -3.0897 -2272.1074 -2318.7379
21001 -3.0431 -2273.2183 -2285.2639
31641 -3.0638 -2269.4671 -2258.3169
12641 -3.0377 -2242.7654 -2252.2435
16441 -3.0689 -2250.9371 -2286.3395
7321 -3.0350 -2252.5657 -2311.4075
36961 -3.0505 -2261.7168 -2268.6483
37721 -3.0911 -2245.1484 -2270.4267
9601 -3.0460 -2284.7025 -2291.3151
30121 -3.0707 -2246.8057 -2303.7896
33161 -3.0549 -2270.4775 -2279.3339
