ligand host complex
11881 -12.1472 -3367.6618 -3416.9111
27081 -12.3717 -3383.3367 -3427.6780
8081 -12.2865 -3392.3242 -3441.5870
24801 -12.2679 -3378.4626 -3422.2367
29361 -12.1854 -3373.5394 -3409.8903
11121 -12.2475 -3401.6803 -3419.2328
17201 -12.1987 -3372.5655 -3398.6501
33921 -12.1243 -3413.5678 -3438.0772
14921 -12.1983 -3368.6822 -3427.7875
39241 -12.2099 -3353.9720 -3415.1837
27841 -12.1278 -3391.3739 -3424.5718
19481 -12.2420 -3376.9839 -3407.3528
25561 -12.1460 -3380.9147 -3414.0568
13401 -12.2367 -3407.7390 -3389.8632
36201 -12.1409 -3382.3060 -3446.1958
4281 -12.2279 -3383.4465 -3397.2560
35441 -12.3605 -3363.9014 -3441.8789
14161 -12.3049 -3394.7047 -3430.5017
5041 -12.1523 -3379.9926 -3443.0832
23281 -12.4192 -3397.1963 -3391.4451
3521 -12.2216 -3394.9586 -3421.2959
15681 -12.2348 -3359.7581 -3406.9604
28601 -12.1613 -3384.5611 -3418.0362
20241 -12.2334 -3377.8187 -3432.7199
34681 -12.3000 -3393.3700 -3402.8122
2001 -12.1664 -3364.5766 -3442.6518
32401 -12.2578 -3409.5951 -3422.0556
10361 -12.2143 -3379.3001 -3417.5441
26321 -12.2567 -3405.2332 -3430.9918
38481 -12.1983 -3387.9914 -3440.5648
30881 -12.1690 -3388.7353 -3403.0748
6561 -12.1096 -3396.1016 -3412.3033
17961 -12.1996 -3388.8250 -3426.6887
2761 -12.1853 -3412.0525 -3449.4091
18721 -12.3098 -3386.0276 -3393.7384
22521 -12.1945 -3402.9673 -3420.7389
24041 -12.2405 -3389.4478 -3427.7389
21761 -12.3365 -3393.9332 -3419.6751
5801 -12.2444 -3384.5536 -3394.8589
8841 -12.1294  -3420.6452
21001 -12.1943 -3357.5343 -3424.5998
31641 -12.1757 -3398.3356 -3396.5073
12641 -12.2561 -3385.4525 -3437.5191
16441 -12.2471 -3357.9038 -3387.5328
7321 -12.1601 -3392.6935 -3396.3920
36961 -12.2977 -3360.1318 -3420.6966
37721 -12.2515 -3405.8992 -3430.2660
9601 -12.2260 -3362.6887 -3427.0127
30121 -12.2288 -3359.8479 -3414.0314
33161 -12.2220 -3390.2029 -3428.7606
