ligand host complex
11881 -3.3929 36961 -2261.4284 -2301.8218
27081 -3.2564 17961 -2276.0377 -2313.5724
8081 -3.3159 36201 -2281.8843 -2325.3527
24801 -3.2606 34681 -2272.9272 -2308.1987
29361 -3.3070 18721 -2266.0972 -2297.7464
11121 -3.2802 24801 -2298.7825 -2305.3037
17201 -3.2796 2761 -2266.1481 -2281.8514
33921 -3.3199 10361 -2310.1885 -2328.8709
14921 -3.3216 7321 -2260.6712 -2315.0503
39241 -3.2998 5801 -2242.4486 -2301.5153
27841 -3.3042 6561 -2281.8643 -2311.2750
19481 -3.3167 28601 -2271.0857 -2293.0676
25561 -3.3699 14921 -2272.2096 -2296.9263
13401 -3.2592 21001 -2298.0316 -2274.1470
36201 -3.2922 3521 -2275.9278 -2334.1917
4281 -3.3601 9601 -2273.6139 -2281.6880
35441 -3.2774 11881 -2256.8968 -2332.8670
14161 -3.2816 2001 -2289.7648 -2319.3201
5041 -3.3231 39241 -2269.1493 -2331.4536
23281 -3.3408 27081 -2289.5254 -2276.4650
3521 -3.3110 33921 -2286.8028 -2306.8128
15681 -3.3075 37721 -2256.8842 -2294.0867
28601 -3.2577 35441 -2276.3939 -2305.2272
20241 -3.3530 13401 -2272.9844 -2317.6848
34681 -3.2854 25561 -2286.5966 -2290.1735
2001 -3.3770 8841 -2254.3063 -2327.6596
32401 -3.2324 23281 -2304.4402 -2309.5378
10361 -3.2864 14161 -2272.0897 -2301.2077
26321 -3.2943 22521 -2300.1799 -2322.4979
38481 -3.2788 12641 -2280.1154 -2329.0646
30881 -3.2457 8081 -2281.2245 -2288.8115
6561 -3.3425 16441 -2294.2613 -2301.1226
17961 -3.3476 30121 -2282.7570 -2311.0328
2761 -3.2952 4281 -2306.2184 -2339.4717
18721 -3.3085 32401 -2278.9839 -2280.0070
22521 -3.3019 38481 -2294.7708 -2306.7878
24041 -3.2884 24041 -2285.3438 -2313.1065
21761 -3.2788 31641 -2286.2704 -2305.2710
5801 -3.3210 17201 -2277.1138 -2285.5754
8841 -3.3301 30881 -2296.7394 -2306.2024
21001 -3.3415 26321 -2249.1214 -2313.9806
31641 -3.3185 19481 -2289.7527 -2283.0985
12641 -3.3329 20241 -2280.5737 -2322.8756
16441 -3.2829 15681 -2248.8517 -2269.4550
7321 -3.3002 21761 -2288.6407 -2283.1537
36961 -3.2630 5041 -2251.3188 -2309.3498
37721 -3.2919 33161 -2303.0058 -2316.0625
9601 -3.3482 29361 -2255.7178 -2310.2988
30121 -3.3759 27841 -2252.3650 -2302.2164
33161 -3.3209 11121 -2283.1993 -2317.6814
