ligand host complex
11881 -25.0297 -4749.6660 -4796.8581
27081 -25.3154 -4740.6300 -4751.8193
8081 -25.2563 -4755.3096 -4752.0727
24801 -25.7501 -4732.2136 -4796.1329
29361 -25.3539 -4730.1601 -4778.6673
11121 -25.5458 -4720.4441 -4796.1423
17201 -25.6678 -4758.0711 -4797.3298
33921 -24.8005 -4754.0426 -4765.1559
14921 -24.8784 -4764.3153 -4790.5140
39241 -25.7689 -4742.2663 -4787.9005
27841 -25.0148 -4741.8613 -4796.2070
19481 -25.2215 -4732.6130 -4771.8963
25561 -25.5959 -4753.2733 -4792.3815
13401 -25.3500 -4708.4060 -4783.4691
36201 -25.5288 -4744.5370 -4800.0980
4281 -26.0676 -4726.8468 -4821.8645
35441 -24.7726 -4759.6178 -4775.8888
14161 -25.4056 -4723.0921 -4766.8617
5041 -25.7392 -4747.9054 -4787.1967
23281 -25.7673 -4725.8471 -4745.9536
3521 -25.6100 -4761.9779 -4798.7251
15681 -24.8840 -4750.3922 -4802.4321
28601 -24.8766 -4744.7327 -4788.4147
20241 -25.5638 -4732.7832 -4822.7132
34681 -26.0704 -4745.8747 -4795.2310
2001 -25.3432 -4755.2844 -4787.6773
32401 -25.3914 -4744.1434 -4784.7709
10361 -25.1418 -4742.6999 -4771.6265
26321 -25.0000 -4742.3533 -4791.4060
38481 -24.9885 -4755.1222 -4787.2005
30881 -25.3975 -4756.9023 -4807.0544
6561 -25.8279 -4746.7733 -4778.6725
17961 -25.8086 -4742.0462 -4786.3793
2761 -25.8272 -4753.3636 -4798.6347
18721 -24.8645 -4754.9936 -4769.0459
22521 -24.8945 -4733.6221 -4785.4974
24041 -25.2691 -4736.5588 -4805.8508
21761 -25.5002 -4708.9809 -4788.2190
5801 -25.5155 -4751.7374 -4795.3305
8841 -24.6513 -4743.4446 -4798.4949
21001 -25.2559 -4704.5637 -4778.5607
31641 -24.9305 -4777.1497 -4805.4700
12641 -25.6237 -4717.9924 -4776.7846
16441 -25.3890 -4737.4251 -4785.5922
7321 -25.1256 -4745.6667 -4810.1556
36961 -25.5748 -4777.8723 -4762.7897
37721 -25.2626 -4731.3633 -4769.5666
9601 -25.7812 -4765.6479 -4798.0454
30121 -25.6889 -4726.2624 -4775.3446
33161 -25.4535 -4750.1617 -4789.6468
