ligand host complex
11881 -25.1347 -4733.8954 -4807.9568
27081 -24.4803 -4753.0772 -4773.7272
8081 -24.8812 -4732.9010 -4759.5000
24801 -24.7492 -4744.9556 -4755.8259
29361 -24.8278 -4743.4588 -4777.3277
11121 -24.7239 -4735.5164 -4786.0429
17201 -24.7858 -4771.1395 -4795.3329
33921 -25.5399 -4738.5903 -4781.7628
14921 -24.8266 -4728.7359 -4776.2899
39241 -25.1205 -4737.1409 -4807.0822
27841 -24.8415 -4728.7863 -4797.2655
19481 -24.2191 -4733.0523 -4789.0943
25561 -24.5507 -4762.1875 -4782.5770
13401 -24.8295 -4716.4694 -4768.8748
36201 -25.1034 -4754.6690 -4810.6337
4281 -25.0657 -4729.1575 -4777.3049
35441 -24.7230 -4707.4887 -4769.3546
14161 -24.9697 -4754.1951 -4798.3449
5041 -24.0917 -4738.8659 -4802.6950
23281 -24.9098 -4710.3859 -4793.9543
3521 -24.6557 -4744.8511 -4796.8101
15681 -24.7888 -4703.6226 -4816.6942
28601 -25.2145 -4745.3730 -4797.7495
20241 -24.0551 -4747.2838 -4794.9415
34681 -24.6821 -4731.9232 -4776.4726
2001 -24.5708 -4750.0968 -4798.7158
32401 -24.1756 -4756.1603 -4772.5781
10361 -24.5943 -4761.3565 -4770.8679
26321 -23.8564 -4714.0758 -4823.0754
38481 -24.7312 -4762.6518 -4758.5287
30881 -24.1871 -4754.6472 -4774.0639
6561 -25.2193 -4777.5272 -4793.6747
17961 -24.6460 -4726.8857 -4774.4154
2761 -25.0990 -4765.5073 -4781.1291
18721 -24.5661 -4713.3932 -4759.5645
22521 -24.7002 -4705.2819 -4799.4760
24041 -24.3156 -4736.6965 -4790.0848
21761 -24.1265 -4727.5529 -4788.1031
5801 -24.5722 -4740.1295 -4744.1943
8841 -25.1619 -4754.5544 -4806.4586
21001 -25.3108 -4749.4123 -4780.8286
31641 -24.6873 -4748.2970 -4752.6851
12641 -25.1377 -4724.3485 -4748.5731
16441 -24.6528 -4722.5358 -4778.4354
7321 -24.5656 -4724.6526 -4804.7499
36961 -23.9961 -4733.7696 -4767.6967
37721 -24.4375 -4724.3300 -4755.2443
9601 -24.4877 -4760.1226 -4777.0657
30121 -24.7156 -4714.8477 -4790.5788
33161 -24.9750 -4753.2471 -4768.8050
